system_name,Mean_NDCG@1,Mean_NDCG@10,Mean_NDCG@50,Mean_NDCG@500,Mean_NDCG@1000
CL99XT,0.74,0.7164275947977821,0.5692635168755092,0.635335296977813,0.6714571582788416
Dm8TFidf,0.56,0.38567152485217365,0.3104717807333264,0.3635733601551999,0.3990074404154502
GE8ATDN2,0.6,0.5360845459903029,0.434541874313501,0.51787380065335,0.5617766363886455
INQ601,0.44,0.44757847201598255,0.3975747040956724,0.4669308593746746,0.509578324499852
Mer8Adtd2,0.6,0.48038239593223026,0.39504272823061143,0.47758119534290244,0.5262502324957549
acsys8alo,0.58,0.5439466550783301,0.46897907523000343,0.5544666148610331,0.6010507100939937
acsys8alo2,0.6,0.4990381584270536,0.438665442501068,0.5198108686455939,0.5664902357686313
apl8c621,0.66,0.5390667729892158,0.45882291764214755,0.5779544500948538,0.6244315646667987
apl8ctd,0.56,0.4763739293990266,0.4193878894983464,0.5466540165570563,0.5900403563737869
att99atde,0.62,0.5621895556277184,0.4831846439180195,0.5730577169625746,0.6152551426340943
fub99a,0.7,0.5716167981185606,0.4737952505669893,0.5630888480449268,0.608483345784348
ibms99b,0.56,0.4854591073412719,0.4362063069201142,0.5361441414073238,0.5852716049665124
nttd8ale,0.66,0.5277696066995998,0.4618712583446644,0.5545148265004406,0.5983808477981957
ok8asxc,0.58,0.5156739286140298,0.4409777738925321,0.5354528431895073,0.5764013996778203
pir9Attd,0.58,0.5310183570569502,0.47320632653729544,0.5790464158765266,0.6251543970926527
